"","Model","XKA"
"APOA4",2.90424812237888,-0.521880911531605
"BTBD17",-0.0860528283719673,0.735507368582795
"PPAPDC3",0.898139030080434,-1.5301030356976
"PMPCB",0.535633139389403,-0.315307339408909
"LRRC39",0.548091575817154,-0.868885401901436
"ATP6V1B2",-0.0177968812195273,-0.342999221906389
"PLLP",-0.396795090099621,0.362817670863767
"CKAP2",0.505804350162135,-0.746798852514097
"AMMECR1",-1.91134246415865,1.98323253894559
"LEPROTL1",0.265525151005329,-0.453707436209115
"NKX3-2",0.828482542684957,-2.27919529744452
"NR1I2",-0.281205245857051,0.462751707131007
"ARAP2",0.123628735065231,-0.297628462317908
"HSD17B12",0.542950440952009,-0.407221786835106
"CARNS1",1.20476217796818,-1.81716591749429
"C9",0.70657785984688,-0.292004613603178
"RUNDC1",0.46120288875162,-0.269411569182953
"TM9SF1",-0.634364415493379,1.40599226521009
"SAE1",0.428177300393914,-0.465701593887883
"DGAT2",0.116878424076125,0.348177842687834
"RSAD1",-0.114918168834415,0.441612334990933
"UNC93B1",0.586275594976136,-0.557152260357514
"MYL12A",0.333462259710186,-0.23440352860691
"IZUMO3",0.699227327057923,-1.91131066083363
"MTO1",0.289702547426989,-0.32037951338707
"EIF4A2",-0.714559855209442,0.412784130700244
"LRRC8D",0.464158728014214,-0.556805476866101
"BRCA1",0.072482711129491,0.82132387896619
"GLTP",0.644245436843067,-0.503303672004786
"SLC39A11",0.840199413262681,-0.355880159597066
"FAM43B",-0.876645076978303,1.79775355693632
"VAMP2",-0.291079315788208,0.454203689670509
"BCMO1",0.333801142092697,-0.483615277708254
"B3GALNT2",0.221459900854165,0.250699488208901
"CIDEB",0.542168414598382,-0.337407352145382
"SLC29A2",1.90406449111386,-1.38185711461401
"CROT",0.043955943911921,-0.370863910386869
"PAX1",-1.22369801477567,1.37896417224659
"NR1H4",-0.429250880093359,0.437503168497873
"SH3BGRL2",1.36103867223772,-0.540755286705367
"XIRP1",-0.630939594426489,1.71127167278875
"NT5M",0.266932042655849,-0.311267057068964
"TYK2",0.0109842566439081,-0.370448331650397
"NDUFAF5",0.379921203686047,-0.526653345522846
"CAMTA1",-2.26824919640411,1.39609540087825
"ANXA13",0.699420922856348,-0.719967157143631
"IGBP1",-0.386647722676898,0.351231097530513
"BCAS2",-0.782970940753164,0.426249843652944
"ND5",0.14213313986781,-0.282068031836179
"CSNK1D",0.325345161724933,-0.308784546769832
"FAM166A",1.45406724290428,-1.16982408105722
"PWWP2B",-0.368599270838678,0.791780325266076
"CERS6",-0.479767850576792,0.642024853840561
"EIF3E",-0.517463990305812,0.326655693910558
"SLC23A1",0.670173182628926,-0.462716054771315
"VEGFA",-0.443355829043917,0.430335075609549
"MIEN1",0.408401641046366,-0.270407687065285
"NBEAL2",-1.41754907272432,1.36464455248858
"VPS45",0.33811370696092,-0.347597709202108
"LCMT2",0.0515932201458485,-0.470653367237217
"OXNAD1",0.137589875771819,-0.332764708590451
"CHRNA5",0.484663173068132,-1.68321013191575
"DRG2",-0.370748250964785,0.433329079698745
"HOXD8",-0.139077765392803,1.03575567543741
